Feature,Importance
PAY_0,0.06136605475404593
avg_payment_delay,0.058640126384282634
AGE,0.055618471517230206
bill_to_limit_ratio,0.05130383339381999
avg_pay_amt,0.04634965817211348
pay_to_bill_ratio,0.04622143293904842
LIMIT_BAL,0.0459441457980423
avg_bill_amt,0.043206655407689865
BILL_AMT1,0.04301916296163777
BILL_AMT2,0.038780404178230525
BILL_AMT5,0.03760212372158876
BILL_AMT6,0.03735423901947081
BILL_AMT3,0.03713664068252467
BILL_AMT4,0.03691094716255857
PAY_AMT1,0.03676788704590185
PAY_AMT2,0.034749401349776374
months_delayed,0.03445389090855259
PAY_AMT3,0.034334526617857325
PAY_AMT6,0.033097317004915174
PAY_AMT4,0.03241761545329386
PAY_AMT5,0.03168290048843213
consecutive_delay,0.021143404252887365
PAY_2,0.0194122279884402
PAY_3,0.016739122136759606
EDUCATION,0.016056965773911296
PAY_4,0.012429089299138442
MARRIAGE,0.010847466569138204
SEX,0.008946804288269015
PAY_5,0.00888518702129294
PAY_6,0.008582297709149833
